Partido;Media;Mediana;Moda;Desvio
PSTU;0,51;0;0;1,13
PCO ;0,61;0;0;1,19
PCB;0,91;0,9;0;1,27
PSOL;1,28;1;1;1,18
PCdoB;1,92;2;2;1,50
PT;2,97;3;3;1,34
PDT;3,92;4;4;1,48
PSB;4,05;4;4;1,59
REDE;4,77;4;4;1,72
CIDADANIA;4,92;5;4;2,36
PV;5,29;5;6;1,79
PTB;6,1;6;7;2,18
Avante;6,32;6;6;2,27
SDD;6,5;7;6;1,98
PMN;6,88;7;7;2,10
PMB;6,9;7;7;2,03
PHS;6,96;7;7;1,94
MDB;7,01;7;6;1,66
PSD;7,09;7;6;1,72
PSDB;7,11;7;6;1,69
PODE;7,24;7;8;1,76
PPL;7,27;8;10;2,68
PRTB;7,45;8;7;1,98
Pros;7,47;7;8;1,58
PRP;7,59;7;7;1,57
REPUBLICANOS;7,78;8;8;1,48
PL;7,78;8;8;1,53
PTC;7,86;8;8;1,65
DC;8,11;8;8;1,55
PSL;8,11;8;10;1,69
UNIÃO;8,11;8,11;8,11;0
Novo;8,13;8;10;1,72
PP;8,20;8;8;1,53
PSC;8,33;8;10;1,52
Patriota;8,55;9;10;1,58
DEM;8,57;9;10;1,40